date,ltp,ltq,bid,ask
2022-08-15 08:21:16,1.020795,0,1.02072,1.02087
2022-08-15 08:21:17,1.020805,1,1.02073,1.02088
2022-08-15 08:21:18,1.020785,0,1.02071,1.02086
2022-08-15 08:21:19,1.020775,0,1.0207,1.02085
2022-08-15 08:21:20,1.020765,2,1.02069,1.02084
2022-08-15 08:21:21,1.020765,0,1.02069,1.02084
2022-08-15 08:21:22,1.020755,3,1.02068,1.02083
2022-08-15 08:21:23,1.020785,2,1.02071,1.02086
2022-08-15 08:21:24,1.020775,0,1.0207,1.02085
2022-08-15 08:21:25,1.020785,0,1.02071,1.02086
2022-08-15 08:21:26,1.020775,0,1.0207,1.02085
2022-08-15 08:21:27,1.020765,2,1.02069,1.02084
2022-08-15 08:21:28,1.020765,0,1.02069,1.02084
2022-08-15 08:21:29,1.020765,0,1.02069,1.02084
2022-08-15 08:21:30,1.020765,1,1.02069,1.02084
2022-08-15 08:21:31,1.020775,0,1.0207,1.02085
2022-08-15 08:21:32,1.020775,0,1.0207,1.02085
2022-08-15 08:21:33,1.020765,0,1.02069,1.02084
2022-08-15 08:21:34,1.020765,0,1.02069,1.02084
2022-08-15 08:21:35,1.020755,2,1.02068,1.02083
2022-08-15 08:21:36,1.020755,1,1.02068,1.02083
2022-08-15 08:21:37,1.020685,7,1.02061,1.02076
2022-08-15 08:21:38,1.020665,14,1.02059,1.02074
2022-08-15 08:21:39,1.020685,0,1.02061,1.02076
2022-08-15 08:21:40,1.020675,1,1.0206,1.02075
2022-08-15 08:21:41,1.020675,1,1.0206,1.02075
2022-08-15 08:21:42,1.020665,0,1.02059,1.02074
2022-08-15 08:21:43,1.02066,3,1.02059,1.02073
2022-08-15 08:21:44,1.020645,3,1.02057,1.02072
2022-08-15 08:21:45,1.020665,3,1.02059,1.02074
2022-08-15 08:21:46,1.020685,0,1.02061,1.02076
2022-08-15 08:21:47,1.020665,1,1.02059,1.02074
2022-08-15 08:21:48,1.020665,3,1.02059,1.02074
2022-08-15 08:21:49,1.020665,0,1.02059,1.02074
2022-08-15 08:21:51,1.020675,4,1.0206,1.02075
2022-08-15 08:21:52,1.020655,1,1.02058,1.02073
2022-08-15 08:21:53,1.020655,0,1.02058,1.02073
2022-08-15 08:21:54,1.020645,2,1.02057,1.02072
2022-08-15 08:21:55,1.020635,0,1.02056,1.02071
2022-08-15 08:21:56,1.02062,5,1.02055,1.02069
2022-08-15 08:21:57,1.02062,0,1.02055,1.02069
2022-08-15 08:21:58,1.020605,0,1.02053,1.02068
2022-08-15 08:21:59,1.020605,0,1.02053,1.02068
2022-08-15 08:22:00,1.020605,0,1.02053,1.02068
2022-08-15 08:22:01,1.020625,1,1.02055,1.0207
2022-08-15 08:22:02,1.020615,0,1.02054,1.02069
2022-08-15 08:22:03,1.020585,6,1.02051,1.02066
2022-08-15 08:22:04,1.020605,4,1.02053,1.02068
2022-08-15 08:22:05,1.020655,0,1.02058,1.02073
2022-08-15 08:22:06,1.020715,9,1.02064,1.02079
2022-08-15 08:22:07,1.020715,0,1.02064,1.02079
2022-08-15 08:22:08,1.020725,0,1.02065,1.0208
2022-08-15 08:22:09,1.020725,0,1.02065,1.0208
2022-08-15 08:22:10,1.020725,8,1.02065,1.0208
2022-08-15 08:22:11,1.020735,0,1.02066,1.02081
2022-08-15 08:22:12,1.020755,3,1.02068,1.02083
2022-08-15 08:22:13,1.020765,0,1.02069,1.02084
2022-08-15 08:22:14,1.020795,0,1.02072,1.02087
2022-08-15 08:22:15,1.020755,2,1.02068,1.02083
2022-08-15 08:22:16,1.020765,2,1.02069,1.02084
2022-08-15 08:22:17,1.020765,10,1.02069,1.02084
2022-08-15 08:22:18,1.02078,9,1.02071,1.02085
2022-08-15 08:22:19,1.0208,9,1.02073,1.02087
2022-08-15 08:22:20,1.02078,2,1.02071,1.02085
2022-08-15 08:22:21,1.020765,0,1.02069,1.02084
2022-08-15 08:22:22,1.020745,7,1.02067,1.02082
2022-08-15 08:22:23,1.020715,0,1.02064,1.02079
2022-08-15 08:22:24,1.020715,0,1.02064,1.02079
2022-08-15 08:22:25,1.020715,3,1.02064,1.02079
2022-08-15 08:22:26,1.020705,2,1.02063,1.02078
2022-08-15 08:22:27,1.020705,0,1.02063,1.02078
2022-08-15 08:22:28,1.0207,7,1.02063,1.02077
2022-08-15 08:22:29,1.0207,0,1.02063,1.02077
2022-08-15 08:22:30,1.020695,0,1.02062,1.02077
2022-08-15 08:22:31,1.020665,3,1.02059,1.02074
2022-08-15 08:22:32,1.020655,1,1.02058,1.02073
2022-08-15 08:22:33,1.020655,0,1.02058,1.02073
2022-08-15 08:22:34,1.020655,2,1.02058,1.02073
2022-08-15 08:22:35,1.020655,3,1.02058,1.02073
2022-08-15 08:22:36,1.020655,0,1.02058,1.02073
2022-08-15 08:22:37,1.020685,0,1.02061,1.02076
2022-08-15 08:22:38,1.020665,1,1.02059,1.02074
2022-08-15 08:22:39,1.020715,0,1.02064,1.02079
2022-08-15 08:22:40,1.020655,7,1.02058,1.02073
2022-08-15 08:22:41,1.020635,0,1.02056,1.02071
2022-08-15 08:22:42,1.020625,0,1.02055,1.0207
2022-08-15 08:22:43,1.020615,1,1.02054,1.02069
2022-08-15 08:22:44,1.020625,0,1.02055,1.0207
2022-08-15 08:22:45,1.020605,3,1.02053,1.02068
2022-08-15 08:22:46,1.020625,0,1.02055,1.0207
2022-08-15 08:22:47,1.020605,0,1.02053,1.02068
2022-08-15 08:22:48,1.020605,1,1.02053,1.02068
2022-08-15 08:22:49,1.020625,2,1.02055,1.0207
2022-08-15 08:22:50,1.020615,0,1.02054,1.02069
2022-08-15 08:22:51,1.020625,7,1.02055,1.0207
2022-08-15 08:22:52,1.020635,1,1.02056,1.02071
2022-08-15 08:22:53,1.020625,1,1.02055,1.0207
2022-08-15 08:22:54,1.020585,0,1.02051,1.02066
2022-08-15 08:22:55,1.020595,0,1.02052,1.02067
2022-08-15 08:22:56,1.020585,2,1.02051,1.02066
2022-08-15 08:22:57,1.020575,1,1.0205,1.02065
2022-08-15 08:22:58,1.020565,6,1.02049,1.02064
2022-08-15 08:22:59,1.020565,0,1.02049,1.02064
2022-08-15 08:23:00,1.020545,3,1.02047,1.02062
2022-08-15 08:23:01,1.020535,0,1.02046,1.02061
2022-08-15 08:23:02,1.020545,0,1.02047,1.02062
2022-08-15 08:23:03,1.020565,1,1.02049,1.02064
2022-08-15 08:23:04,1.020555,0,1.02048,1.02063
2022-08-15 08:23:05,1.020535,1,1.02046,1.02061
2022-08-15 08:23:06,1.020545,3,1.02047,1.02062
2022-08-15 08:23:07,1.020545,0,1.02047,1.02062
2022-08-15 08:23:08,1.020545,1,1.02047,1.02062
2022-08-15 08:23:09,1.020545,0,1.02047,1.02062
2022-08-15 08:23:10,1.020525,0,1.02045,1.0206
2022-08-15 08:23:11,1.020515,1,1.02044,1.02059
2022-08-15 08:23:12,1.020505,2,1.02043,1.02058
2022-08-15 08:23:13,1.020495,0,1.02042,1.02057
2022-08-15 08:23:14,1.020475,11,1.0204,1.02055
2022-08-15 08:23:15,1.020435,0,1.02036,1.02051
2022-08-15 08:23:16,1.020435,3,1.02036,1.02051
2022-08-15 08:23:17,1.020425,2,1.02035,1.0205
2022-08-15 08:23:18,1.020425,2,1.02035,1.0205
2022-08-15 08:23:19,1.020435,0,1.02036,1.02051
2022-08-15 08:23:20,1.020435,5,1.02036,1.02051
2022-08-15 08:23:21,1.020485,6,1.02041,1.02056
2022-08-15 08:23:22,1.020465,2,1.02039,1.02054
2022-08-15 08:23:23,1.020455,1,1.02038,1.02053
2022-08-15 08:23:24,1.020465,0,1.02039,1.02054
2022-08-15 08:23:25,1.02053,0,1.02046,1.0206
2022-08-15 08:23:26,1.020515,5,1.02044,1.02059
2022-08-15 08:23:27,1.020515,1,1.02044,1.02059
2022-08-15 08:23:28,1.020545,1,1.02047,1.02062
2022-08-15 08:23:29,1.020535,0,1.02046,1.02061
2022-08-15 08:23:30,1.020535,1,1.02046,1.02061
2022-08-15 08:23:31,1.020535,0,1.02046,1.02061
2022-08-15 08:23:32,1.020535,2,1.02046,1.02061
2022-08-15 08:23:33,1.020515,3,1.02044,1.02059
2022-08-15 08:23:34,1.020515,2,1.02044,1.02059
2022-08-15 08:23:35,1.020515,3,1.02044,1.02059
2022-08-15 08:23:36,1.020515,0,1.02044,1.02059
2022-08-15 08:23:37,1.020565,2,1.02049,1.02064
2022-08-15 08:23:38,1.020565,0,1.02049,1.02064
2022-08-15 08:23:39,1.020565,0,1.02049,1.02064
2022-08-15 08:23:40,1.020565,0,1.02049,1.02064
2022-08-15 08:23:41,1.020565,0,1.02049,1.02064
2022-08-15 08:23:42,1.020555,1,1.02048,1.02063
2022-08-15 08:23:43,1.020545,0,1.02047,1.02062
